,tweet_id,rating_numerator,rating_denominator,name,stage
0,892420643555336193,13.0,10.0,Phineas,None
1,892177421306343426,13.0,10.0,Tilly,None
2,891815181378084864,12.0,10.0,Archie,None
3,891689557279858688,13.0,10.0,Darla,None
4,891327558926688256,12.0,10.0,Franklin,None
5,891087950875897856,13.0,10.0,None,None
6,890971913173991426,13.0,10.0,Jax,None
7,890729181411237888,13.0,10.0,None,None
8,890609185150312448,13.0,10.0,Zoey,None
9,890240255349198849,14.0,10.0,Cassie,doggo
10,890006608113172480,13.0,10.0,Koda,None
11,889880896479866881,13.0,10.0,Bruno,None
12,889665388333682689,13.0,10.0,None,puppo
13,889638837579907072,12.0,10.0,Ted,None
14,889531135344209921,13.0,10.0,Stuart,puppo
15,889278841981685760,13.0,10.0,Oliver,None
16,888917238123831296,12.0,10.0,Jim,None
17,888804989199671297,13.0,10.0,Zeke,None
18,888554962724278272,13.0,10.0,Ralphus,None
20,888078434458587136,12.0,10.0,Gerald,None
21,887705289381826560,13.0,10.0,Jeffrey,None
22,887517139158093824,14.0,10.0,such,None
23,887473957103951883,13.0,10.0,Canela,None
24,887343217045368832,13.0,10.0,None,None
25,887101392804085760,12.0,10.0,None,None
26,886983233522544640,13.0,10.0,Maya,None
27,886736880519319552,13.0,10.0,Mingus,None
28,886680336477933568,13.0,10.0,Derek,None
29,886366144734445568,12.0,10.0,Roscoe,pupper
30,886267009285017600,12.0,10.0,None,None
31,886258384151887873,13.0,10.0,Waffles,None
33,885984800019947520,12.0,10.0,Jimbo,None
34,885528943205470208,13.0,10.0,Maisey,None
35,885518971528720385,14.0,10.0,None,None
37,885167619883638784,13.0,10.0,None,None
38,884925521741709313,12.0,10.0,Earl,None
39,884876753390489601,13.0,10.0,Lola,None
40,884562892145688576,13.0,10.0,Kevin,None
41,884441805382717440,14.0,10.0,None,None
42,884247878851493888,13.0,10.0,None,None
43,884162670584377345,12.0,10.0,Yogi,doggo
44,883838122936631299,12.0,10.0,Noah,None
45,883482846933004288,5.0,10.0,Bella,None
46,883360690899218434,13.0,10.0,Grizzwald,floofer
47,883117836046086144,13.0,10.0,None,None
48,882992080364220416,13.0,10.0,Rusty,None
49,882762694511734784,12.0,10.0,Gus,pupper
50,882627270321602560,13.0,10.0,Stanley,None
51,882268110199369728,13.0,10.0,Alfy,None
52,882045870035918850,13.0,10.0,Koko,None
53,881906580714921986,12.0,10.0,Rey,None
54,881666595344535552,13.0,10.0,Gary,None
55,881633300179243008,17.0,10.0,None,None
56,881536004380872706,14.0,10.0,None,pupper
57,881268444196462592,12.0,10.0,Elliot,None
58,880935762899988482,13.0,10.0,Louis,None
59,880872448815771648,12.0,10.0,None,None
60,880465832366813184,12.0,10.0,Bella,None
61,880221127280381952,12.0,10.0,Jesse,None
62,880095782870896641,11.0,10.0,None,None
63,879862464715927552,13.0,10.0,Romeo,None
64,879674319642796034,14.0,10.0,None,None
65,879492040517615616,12.0,10.0,Bailey,None
66,879415818425184262,13.0,10.0,Duddles,None
67,879376492567855104,12.0,10.0,Jack,None
69,879050749262655488,11.0,10.0,Steven,None
70,879008229531029506,13.0,10.0,Beau,None
71,878776093423087618,13.0,10.0,Snoopy,puppo
72,878604707211726852,13.0,10.0,None,None
75,878281511006478336,13.0,10.0,Shadow,None
76,878057613040115712,14.0,10.0,Emmy,None
77,877736472329191424,13.0,10.0,Aja,None
79,877556246731214848,12.0,10.0,Penny,None
80,877316821321428993,13.0,10.0,Dante,None
81,877201837425926144,12.0,10.0,Nelly,None
82,876838120628539392,12.0,10.0,Ginger,pupper
83,876537666061221889,14.0,10.0,None,None
84,876484053909872640,13.0,10.0,Benedict,None
85,876120275196170240,13.0,10.0,Venti,None
86,875747767867523072,13.0,10.0,Goose,None
87,875144289856114688,13.0,10.0,Nugget,None
88,875097192612077568,13.0,10.0,None,None
89,875021211251597312,12.0,10.0,None,None
90,874680097055178752,12.0,10.0,Cash,None
92,874296783580663808,13.0,10.0,Jed,pupper
93,874057562936811520,12.0,10.0,None,None
94,874012996292530176,13.0,10.0,Sebastian,puppo
96,873580283840344065,13.0,10.0,None,None
98,873213775632977920,12.0,10.0,Sierra,pupper
99,872967104147763200,12.0,10.0,None,doggo
100,872820683541237760,13.0,10.0,None,None
102,872620804844003328,13.0,10.0,Monkey,None
103,872486979161796608,12.0,10.0,None,None
104,872261713294495745,13.0,10.0,Harry,None
105,872122724285648897,12.0,10.0,Kody,None
106,871879754684805121,13.0,10.0,Lassie,None
107,871762521631449091,12.0,10.0,Rover,pupper
108,871515927908634625,12.0,10.0,Napolean,doggo
110,871102520638267392,14.0,10.0,None,doggo
111,871032628920680449,13.0,10.0,Boomer,None
112,870804317367881728,11.0,10.0,None,None
113,870726314365509632,10.0,10.0,None,None
114,870656317836468226,13.0,10.0,Cody,None
115,870374049280663552,13.0,10.0,Zoey,None
116,870308999962521604,13.0,10.0,Rumble,None
117,870063196459192321,14.0,10.0,Clifford,None
119,869772420881756160,13.0,10.0,Dewey,None
120,869702957897576449,13.0,10.0,Stanley,None
121,869596645499047938,12.0,10.0,Scout,doggo
122,869227993411051520,13.0,10.0,Gizmo,None
123,868880397819494401,14.0,10.0,Walter,None
125,868622495443632128,13.0,10.0,None,None
126,868552278524837888,12.0,10.0,Cooper,None
127,867900495410671616,12.0,10.0,None,None
128,867774946302451713,13.0,10.0,Harold,None
129,867421006826221569,12.0,10.0,Shikha,puppo
131,867051520902168576,13.0,10.0,None,None
133,866720684873056260,13.0,10.0,None,None
134,866686824827068416,12.0,10.0,Lili,None
135,866450705531457537,13.0,10.0,Jamesy,pupper
136,866334964761202691,12.0,10.0,Coco,None
138,865718153858494464,13.0,10.0,Boomer,None
139,865359393868664832,13.0,10.0,Sammy,None
140,865006731092295680,13.0,10.0,Nelly,None
141,864873206498414592,14.0,10.0,None,None
142,864279568663928832,12.0,10.0,Meatball,None
143,864197398364647424,13.0,10.0,Paisley,None
144,863907417377173506,13.0,10.0,Albus,None
145,863553081350529029,13.0,10.0,Neptune,None
147,863432100342583297,12.0,10.0,Belle,None
148,863427515083354112,12.0,10.0,None,None
149,863079547188785154,14.0,10.0,None,None
150,863062471531167744,13.0,10.0,Quinn,None
151,862831371563274240,13.0,10.0,Zooey,None
152,862722525377298433,11.0,10.0,Dave,None
153,862457590147678208,13.0,10.0,Jersey,None
154,862096992088072192,13.0,10.0,None,None
156,861383897657036800,13.0,10.0,Hobbes,None
157,861288531465048066,13.0,10.0,None,None
158,861005113778896900,12.0,10.0,Burt,None
161,860563773140209665,13.0,10.0,Lorenzo,None
162,860524505164394496,13.0,10.0,Carl,None
163,860276583193509888,12.0,10.0,Jordy,None
164,860184849394610176,14.0,10.0,None,None
166,859924526012018688,12.0,10.0,Milky,None
167,859851578198683649,13.0,10.0,Trooper,None
168,859607811541651456,13.0,10.0,None,puppo
169,859196978902773760,12.0,10.0,None,None
170,859074603037188101,13.0,10.0,None,None
172,858843525470990336,13.0,10.0,None,doggo
173,858471635011153920,13.0,10.0,Sophie,None
174,858107933456039936,12.0,10.0,Wyatt,None
175,857989990357356544,12.0,10.0,Rosie,None
176,857746408056729600,13.0,10.0,Thor,None
177,857393404942143489,13.0,10.0,None,None
178,857263160327368704,13.0,10.0,Oscar,None
179,857214891891077121,12.0,10.0,None,None
181,857029823797047296,12.0,10.0,Zeke,None
183,856543823941562368,12.0,10.0,Callie,None
184,856526610513747968,14.0,10.0,None,None
186,856288084350160898,14.0,10.0,None,None
187,856282028240666624,14.0,10.0,Cermet,None
188,855862651834028034,420.0,10.0,None,None
189,855860136149123072,666.0,10.0,None,None
190,855857698524602368,13.0,10.0,None,None
191,855851453814013952,13.0,10.0,None,doggo
192,855818117272018944,13.0,10.0,None,None
