,tweet_id,retweet_count,favorite_count
0,666020888022790149,482,2482
1,666029285002620928,45,124
2,666033412701032449,43,121
3,666044226329800704,135,284
4,666049248165822465,41,103
5,666050758794694657,56,129
6,666051853826850816,808,1177
7,666055525042405380,226,421
8,666057090499244032,132,280
9,666058600524156928,56,108
10,666063827256086533,204,458
11,666071193221509120,55,140
12,666073100786774016,150,309
13,666082916733198337,42,109
14,666094000022159362,68,158
15,666099513787052032,63,147
16,666102155909144576,11,75
17,666104133288665088,6203,13824
18,666268910803644416,32,99
19,666273097616637952,74,166
20,666287406224695296,63,141
21,666293911632134144,332,481
22,666337882303524864,87,188
23,666345417576210432,130,281
24,666353288456101888,71,211
25,666362758909284353,538,749
26,666373753744588802,86,179
27,666396247373291520,80,161
28,666407126856765440,36,103
29,666411507551481857,315,425
30,666418789513326592,44,118
31,666421158376562688,110,309
32,666428276349472768,79,159
33,666430724426358785,183,306
34,666435652385423360,51,160
35,666437273139982337,44,119
36,666447344410484738,19,99
37,666454714377183233,204,504
38,666644823164719104,77,226
39,666649482315059201,598,1093
40,666691418707132416,46,185
41,666701168228331520,213,423
42,666739327293083650,64,229
43,666776908487630848,170,338
44,666781792255496192,184,375
45,666786068205871104,474,740
46,666804364988780544,90,230
47,666817836334096384,242,505
48,666826780179869698,93,248
49,666835007768551424,78,209
50,666837028449972224,540,799
51,666983947667116034,959,2503
52,666996132027977728,91,240
53,667012601033924608,215,440
54,667044094246576128,49,182
55,667062181243039745,51,213
56,667065535570550784,45,163
57,667070482143944705,14,82
58,667073648344346624,120,394
59,667090893657276420,123,329
60,667119796878725120,127,324
61,667138269671505920,2153,4536
62,667152164079423490,16619,46919
63,667160273090932737,61,253
64,667165590075940865,1114,2635
65,667171260800061440,85,218
66,667174963120574464,79,238
67,667176164155375616,451,604
68,667177989038297088,55,188
69,667182792070062081,6058,14134
70,667188689915760640,402,734
71,667192066997374976,101,380
72,667200525029539841,256,605
73,667211855547486208,241,482
74,667369227918143488,159,359
75,667393430834667520,53,190
76,667405339315146752,217,458
77,667435689202614272,83,303
78,667437278097252352,230,444
79,667443425659232256,561,770
80,667453023279554560,88,306
81,667455448082227200,59,188
82,667470559035432960,96,252
83,667491009379606528,221,524
84,667495797102141441,262,511
85,667502640335572993,216,528
86,667509364010450944,2089,6698
87,667517642048163840,189,366
88,667524857454854144,1090,1674
89,667530908589760512,234,458
90,667534815156183040,516,809
91,667538891197542400,64,202
92,667544320556335104,514,852
93,667546741521195010,121,334
94,667549055577362432,2236,5716
95,667550882905632768,32,0
96,667550904950915073,34,0
97,667724302356258817,314,476
98,667728196545200128,147,374
99,667766675769573376,212,439
100,667773195014021121,55,234
101,667782464991965184,241,402
102,667793409583771648,325,692
103,667801013445750784,96,325
104,667806454573760512,485,1045
105,667832474953625600,61,290
106,667861340749471744,76,237
107,667866724293877760,1016,2977
108,667873844930215936,396,620
109,667878741721415682,116,388
110,667885044254572545,472,808
111,667886921285246976,1071,1866
112,667902449697558528,371,840
113,667911425562669056,300,488
114,667915453470232577,55,207
115,667924896115245057,112,297
116,667937095915278337,777,1244
117,668113020489474048,236,659
118,668142349051129856,277,567
119,668154635664932864,307,488
120,668171859951755264,191,484
121,668190681446379520,194,652
122,668204964695683073,192,553
123,668221241640230912,192,508
124,668226093875376128,102,297
125,668237644992782336,2821,6144
126,668248472370458624,477,973
127,668256321989451776,603,1291
128,668268907921326080,233,549
129,668274247790391296,228,813
130,668286279830867968,135,499
131,668291999406125056,29,239
132,668297328638447616,294,612
133,668466899341221888,510,873
134,668480044826800133,146,456
135,668484198282485761,232,420
136,668496999348633600,129,410
137,668507509523615744,103,321
138,668528771708952576,222,455
139,668537837512433665,72,250
140,668542336805281792,213,449
141,668544745690562560,218,509
142,668567822092664832,52,242
143,668587383441514497,1059,1665
144,668614819948453888,313,609
145,668620235289837568,41,199
146,668623201287675904,756,1407
147,668625577880875008,130,384
148,668627278264475648,112,314
149,668631377374486528,313,708
150,668633411083464705,1609,2781
151,668636665813057536,483,1034
152,668641109086707712,534,1069
153,668643542311546881,524,871
154,668645506898350081,522,882
155,668655139528511488,217,527
156,668779399630725120,369,704
157,668815180734689280,267,570
158,668826086256599040,136,430
159,668852170888998912,165,450
160,668872652652679168,299,519
161,668892474547511297,150,395
162,668902994700836864,100,316
163,668932921458302977,58,261
164,668955713004314625,71,276
165,668960084974809088,236,698
166,668967877119254528,22,146
167,668975677807423489,575,1294
168,668979806671884288,347,793
169,668981893510119424,303,535
170,668986018524233728,168,550
171,668988183816871936,462,891
172,668989615043424256,326,677
173,668992363537309700,342,739
174,668994913074286592,227,439
175,669000397445533696,6320,20748
176,669006782128353280,248,573
177,669015743032369152,370,735
178,669037058363662336,308,649
179,669203728096960512,470,996
180,669214165781868544,164,436
181,669216679721873412,403,1185
182,669324657376567296,207,495
183,669327207240699904,115,573
184,669328503091937280,418,1016
185,669351434509529089,184,434
186,669353438988365824,262,637
187,669354382627049472,1269,2691
188,669359674819481600,122,370
189,669363888236994561,224,615
190,669367896104181761,151,458
191,669371483794317312,179,496
192,669375718304980992,723,1322
193,669393256313184256,75,362
194,669564461267722241,123,383
195,669567591774625800,55,233
196,669571471778410496,1009,1579
197,669573570759163904,139,430
198,669583744538451968,921,1483
199,669597912108789760,151,512
200,669603084620980224,360,942
201,669625907762618368,1802,3501
202,669661792646373376,430,798
203,669680153564442624,287,661
204,669682095984410625,133,347
205,669683899023405056,111,385
206,669684865554620416,88,512
207,669749430875258880,65,264
208,669753178989142016,396,805
209,669923323644657664,55,231
210,669926384437997569,101,369
211,669942763794931712,159,500
212,669970042633789440,59,302
213,669972011175813120,158,445
214,669993076832759809,83,325
215,670003130994700288,92,332
216,670037189829525505,272,585
217,670040295598354432,110,751
218,670046952931721218,173,643
219,670055038660800512,332,668
220,670061506722140161,336,761
221,670069087419133954,235,624
222,670073503555706880,777,1568
223,670079681849372674,1219,2215
224,670086499208155136,247,692
225,670093938074779648,331,1020
226,670290420111441920,283,698
227,670303360680108032,130,428
228,670319130621435904,1214,3849
229,670338931251150849,108,420
230,670361874861563904,66,327
231,670374371102445568,269,745
232,670385711116361728,202,551
233,670403879788544000,154,431
234,670408998013820928,221,552
235,670411370698022913,886,2010
236,670417414769758208,316,568
237,670420569653809152,311,624
238,670421925039075328,627,1298
239,670427002554466305,162,521
240,670428280563085312,617,1371
241,670433248821026816,113,327
242,670434127938719744,645,1393
